number,origin,destination,code,distance,duration,toll
0,"106.556809,29.517229","106.384825,29.676384",0,36649,3060,0
1,"106.556809,29.517229","106.57485,29.733029",0,39059,2940,0
2,"106.556809,29.517229","106.569953,29.481373",0,8207,1080,0
3,"106.556809,29.517229","106.515487,29.624322",0,24514,1680,0
4,"106.556809,29.517229","106.563185,29.465776",0,11421,1380,0
5,"106.556809,29.517229","106.794496,29.687276",0,49152,3060,0
6,"106.556809,29.517229","106.56982,29.584005",0,10031,1440,0
7,"106.556809,29.517229","106.423114,29.838559",0,45871,3180,0
8,"106.556809,29.517229","106.483385,29.629215",0,20365,2280,0
9,"106.556809,29.517229","106.411922,29.810434",0,43563,3000,0
10,"106.556809,29.517229","106.545594,29.500913",0,9182,1320,0
11,"106.556809,29.517229","106.372849,29.634566",0,31794,2640,0
12,"106.556809,29.517229","106.537811,29.590335",0,12427,1740,0
13,"106.556809,29.517229","106.575366,29.577498",0,9224,1380,0
14,"106.556809,29.517229","106.633012,29.717755",0,43640,3480,0
15,"106.556809,29.517229","106.549654,29.612006",0,21009,1800,0
16,"106.556809,29.517229","106.645588,29.765431",0,49733,3120,7
17,"106.556809,29.517229","106.524153,29.385368",0,23471,3000,0
18,"106.556809,29.517229","106.532099,29.51222",0,6761,1020,0
19,"106.556809,29.517229","106.516043,29.622297",0,26554,1800,0
20,"106.556809,29.517229","106.587459,29.543327",0,8564,1320,0
21,"106.556809,29.517229","106.820019,29.693393",0,48073,3120,11
22,"106.556809,29.517229","106.60369,29.632117",0,39112,3540,0
23,"106.556809,29.517229","106.47412,29.76077",0,34831,2940,0
24,"106.556809,29.517229","106.307813,29.55804",0,32484,2940,0
25,"106.556809,29.517229","106.577512,29.691415",0,35695,2880,0
26,"106.556809,29.517229","106.543839,29.473039",0,7523,960,0
27,"106.556809,29.517229","106.494448,29.454464",0,15205,1680,0
28,"106.556809,29.517229","106.549381,29.52491",0,1617,480,0
29,"106.556809,29.517229","106.311379,29.681187",0,43690,3360,4
30,"106.556809,29.517229","106.50355,29.606218",0,17782,1920,0
31,"106.556809,29.517229","106.488323,29.702462",0,28571,2820,0
32,"106.556809,29.517229","106.464633,29.556611",0,20509,2040,0
33,"106.556809,29.517229","106.487723,29.464073",0,14407,1680,0
34,"106.556809,29.517229","106.515357,29.501573",0,7525,1080,0
35,"106.556809,29.517229","106.800921,29.652905",0,44664,2820,11
36,"106.556809,29.517229","106.340831,29.626253",0,33115,3180,0
37,"106.556809,29.517229","106.244431,29.481045",0,37347,2760,27
38,"106.556809,29.517229","106.494448,29.454464",0,15205,1680,0
39,"106.556809,29.517229","106.488323,29.702462",0,28571,2820,0
40,"106.556809,29.517229","106.595651,29.423402",0,20219,2340,0
41,"106.556809,29.517229","106.767814,29.628511",0,42030,2700,0
42,"106.556809,29.517229","106.43982,29.667897",0,31504,2760,0
43,"106.556809,29.517229","106.478925,29.554136",0,14008,1740,0
44,"106.556809,29.517229","106.478925,29.554136",0,14008,1740,0
45,"106.556809,29.517229","106.549354,29.560878",0,8920,1440,0
46,"106.556809,29.517229","106.591757,29.56081",0,13693,2280,0
47,"106.556809,29.517229","106.744944,29.609495",0,41956,2580,0
48,"106.556809,29.517229","106.508461,29.602091",0,17018,1800,0
49,"106.556809,29.517229","106.535587,29.807428",0,44693,3480,0
50,"106.556809,29.517229","106.645811,29.48559",0,13393,1260,0
51,"106.556809,29.517229","106.772502,29.681089",0,47445,3000,0
52,"106.556809,29.517229","106.580104,29.560173",0,8611,1860,0
53,"106.556809,29.517229","106.450784,29.46597",0,20318,2160,0
54,"106.556809,29.517229","106.51557,29.585954",0,14987,1740,0
55,"106.556809,29.517229","106.44339,29.833109",0,47143,3600,0
56,"106.556809,29.517229","106.565222,29.664372",0,33770,2700,0
57,"106.556809,29.517229","106.494448,29.454464",0,15205,1680,0
58,"106.556809,29.517229","106.509122,29.615086",0,25107,1680,0
59,"106.556809,29.517229","106.508461,29.602091",0,17018,1800,0
60,"106.556809,29.517229","106.508461,29.602091",0,17018,1800,0
61,"106.556809,29.517229","106.514249,29.582631",0,13941,1440,0
62,"106.556809,29.517229","106.508461,29.602091",0,17018,1800,0
63,"106.556809,29.517229","106.6134,29.688502",0,31798,2880,0
64,"106.556809,29.517229","106.453638,29.650345",0,30535,3060,0
65,"106.556809,29.517229","106.626114,29.398649",0,27734,2100,0
66,"106.556809,29.517229","106.533997,29.565588",0,11346,1260,0
67,"106.556809,29.517229","106.551843,29.650122",0,28616,2280,0
68,"106.556809,29.517229","106.581698,29.520627",0,7430,900,0
69,"106.556809,29.517229","106.52288,29.550783",0,12316,1620,0
70,"106.556809,29.517229","106.512547,29.511351",0,7715,1200,0
71,"106.556809,29.517229","106.473207,29.564749",0,15772,1800,0
72,"106.556809,29.517229","106.481465,29.771363",0,36386,3120,0
73,"106.556809,29.517229","106.481465,29.771363",0,36386,3120,0
74,"106.556809,29.517229","106.641637,29.612773",0,38201,2580,0
75,"106.556809,29.517229","106.55654,29.562133",0,8840,1440,0
76,"106.556809,29.517229","106.57571,29.580888",0,9844,1440,0
77,"106.556809,29.517229","106.575313,29.577264",0,9220,1320,0
78,"106.556809,29.517229","106.577057,29.578312",0,10270,1500,0
79,"106.556809,29.517229","106.324981,29.525253",0,26715,2340,0
80,"106.556809,29.517229","106.54485,29.416135",0,16072,1980,0
81,"106.556809,29.517229","106.538812,29.657252",0,29666,2640,0
82,"106.556809,29.517229","106.538812,29.657252",0,29666,2640,0
83,"106.556809,29.517229","106.590121,29.568028",0,9596,1800,0
