销售单号,商品编码,商品名称,单位,拣货数量,长cm,宽cm,高cm,计算规则（L/kg),规则体积推算L,规格体积L,规则体积补充,备注：长宽高为一组；计算规则为二组；规则体积推算为三组；规则体积L+规则体积补充为四组
OM25062500009183,1191435,蒜米机剥,KG,1.78,,,,2.5,,,,
OW25062600001160,1234224,[彩食鲜]西葫芦,KG,5.22,,,,2.9,,,,
OM25062700003369,1912511,热鲜猪筒骨(黑猪),KG,6.03,,,,2.8,,,,
OM25062700003840,2007166,[彩食鲜]红头蒜苗,KG,1.08,,,,2.5,,,,
OM25062700005693,1271589,[彩食鲜]红彩椒,KG,0.23,,,,5.0,,,,
OM25062700007279,1275890,空心菜（去杂理净）,KG,8.0,,,,3.5,,,,
OM25062700006627,1639272,鲜青菜块咸菜 麻辣味,KG,0.5,,,,2.5,,,,
OM25062700006660,852410,[彩食鲜]西红柿,KG,6.58,,,,2.5,,,,
OM25062700003763,1279167,[彩食鲜]绿豆芽,KG,10.22,,,,4.5,,,,
OM25062700007750,563,苦瓜,KG,12.66,,,,2.0,,,,
OM25062800000711,1286448,克伦生无籽红提,KG,4.53,,,,4.0,,,,
OM25062800001774,2031952,咸脆桃(100-150g),KG,15.51,,,,2.5,,,,
OM25062800002683,775039,冰草,KG,0.5,,,,7.0,,,,
OM25062800005892,1279167,[彩食鲜]绿豆芽,KG,10.16,,,,4.5,,,,
OM25062700007710,1309382,黄短豆芽,KG,1.12,,,,5.0,,,,
OM25062700006694,1271599,[彩食鲜]黄彩椒,KG,1.1,,,,5.0,,,,
OM25062700006781,846491,彩食鲜糯玉米粒,KG,3.02,,,,3.5,,,,
OM25062800001089,1179974,白面条（韭菜叶面）,KG,5.02,,,,2.5,,,,
OM25062700006456,1284458,土豆(3-5两),KG,8.73,,,,1.5,,,,
OM25062700005771,1699567,小白糕1kg约42-47个 D+2,袋,3.0,10.0,6.0,13.0,,,,,
OM25062700007434,1490638,热鲜梅花肉去筋去里脊,KG,1.76,,,,1.8,,,,
OM25062700007091,1095594,小黄姜,KG,5.18,,,,2.5,,,,
OM25062700007091,1166223,[彩食鲜]小白菜,KG,7.5,,,,7.0,,,,
OM25062700007627,1613274,红富士苹果70#,KG,14.19,,,,2.5,,,,
OM25062700005893,1551859,鲜瘦肉前腿切片（约5mm）,KG,1.02,,,,1.5,,,,
OM25062700003763,1211346,长茄,KG,7.9,,,,4.5,,,,
OM25062700006667,1552045,小葱（去根清洗）,KG,2.0,,,,3.5,,,,
OW25062800001010,457,白菜,KG,10.96,,,,2.8,,,,
OW25062800001070,787432,[彩食鲜]鲜杏鲍菇,KG,0.62,,,,4.5,,,,
OM25062800005125,1271554,[彩食鲜]平菇,KG,1.0,,,,4.5,,,,
OW25062800000074,852410,[彩食鲜]西红柿,KG,1.4,,,,2.5,,,,
OM25062700007802,1140523,[彩食鲜]白萝卜,KG,18.16,,,,2.0,,,,
OM25062800000098,1461547,三色堇10g/盒,盒,1.0,,,,,1.0,,,
OM25062800001089,1179973,白面条（细面）,KG,10.08,,,,2.5,,,,
OM25062700006456,852410,[彩食鲜]西红柿,KG,7.58,,,,2.5,,,,
OM25062900001068,1362929,热鲜二刀肉(烧毛),KG,3.27,,,,1.8,,,,
OM25062900000231,563,苦瓜,KG,2.82,,,,2.0,,,,
OM25062900000231,1250145,香芋,KG,1.52,,,,1.5,,,,
OM25062900000231,2112,青梗花菜,KG,2.46,,,,5.0,,,,
OM25062900000305,1695892,热鲜猪前蹄切块(约3*4cm),KG,75.0,,,,3.5,,,,
OM25062900000330,1551873,紫洋葱（去皮),KG,20.0,,,,3.5,,,,
