Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
,,,,,,,
,,,,,,,
,车辆商品池,,,,,,
,车型,可装载方数（单位：方）,最大承重（单位：吨）,可用数量,,,
,小型面包车,4,0.7,20,,,
,大型面包车,6,1,200,,,
,4.2m厢式货车,12,1.5,40,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,运费计算模版,,,,,,
,基础运费,0-20KM（元）,21-40KM（元）,41-60KM（元）,61-80KM（元）,81-100KM（元）,100公里以上（元/KM）
,小型面包车,153,166,183,238,315,/
,大型面包车,180,195,215,280,370,3.65
,4.2m厢式货车,205,290,390,420,500,5.1
,,,,,,,
,拐点费用,费用,免费拐点：两个,,,,
,小型面包车,15元/点,,,,,
,大型面包车,15元/点,,,,,
,4.2m厢式货车,20元/点,,,,,
,,,,,,,
,,,,,,,
,信任交接/点货交接的逻辑,,,,,,
,信任交接,,,,,,
,,卸货时间,交接时长,,,,
,0.5方及以下,10分钟-固定,5分钟-固定,,,,
,每增加0.1个方,增加1分钟,,,,,
,,,,,,,
,,,,,,,
,点货交接,,,,,,
,,卸货时间,交接时长,,,,
,0.5方及以下,10分钟-固定,每0.1方， 1.3分钟,,,,
,每增加0.1个方,增加1分钟,,,,,
