销售订单,计划发货日期,子客户编码,子客户名称,子客户地址,经纬度,经纬度1,地址code
OM25061500000013,2025-06-30,Z047141,重庆中国三峡博物馆-丹回路,重庆市重庆市南岸区丹回路1号,29.517229,106.556809,23847
OM25061900007357,2025-06-30,Z071219,渝北区消防救援支队-支队机关,重庆市重庆市渝北区渝北消防南侧正大门别去北侧，中粮祥云C区正对面,29.733029,106.57485,32358
OM25062000005494,2025-06-30,Z014724,中国人民解放军78007部队,重庆市重庆市巴南区渝南大道22-2号,29.481373,106.569953,19407
OM25062400003394,2025-06-30,Z006476,华能-9楼,土星B1栋9楼,29.624322,106.515487,56097
OM25062500009183,2025-06-30,111896,重庆市巴南区房屋征收中心,重庆市重庆市巴南区重庆市巴南区李家沱街道办事处巴南大道16号重庆市巴南区李家沱街道办事处（正大门左手面执法大队4楼）,29.465776,106.563185,27005
OM25062700000321,2025-06-30,109148,重庆金泰国有资产经营有限公司,重庆市重庆市渝北区渝北区龙兴路赛力斯汽车龙兴总部负一楼金泰食堂,29.687276,106.794496,46801
OM25062700000410,2025-06-30,Z016761,中国烟草总公司重庆市公司,五江路20号烟草大厦车库厨房门口,29.584005,106.56982,57743
OM25062700000640,2025-06-30,Z087650,重庆市北碚区照明灯饰管理处,重庆市重庆市北碚区北碚区正源缙山水东区缙香亭公厕后面，从门杆进入2层楼的黄色房子哪里,29.838559,106.423114,46138
OM25062700000717,2025-06-30,Z043091,重庆市渝北区人民政府大竹林街道办事处,重庆市重庆市渝北区大竹林街道办事处,29.629215,106.483385,26910
OM25062700000728,2025-06-30,Z071708,北碚区国有土地上房屋征收与补偿安置中心,重庆市重庆市北碚区北碚区碚南大道118号交通银行楼下有门牌送到2楼,29.810434,106.411922,32190
OM25062700000809,2025-06-30,Z090065,九龙坡铁路幼儿园,重庆市重庆市九龙坡区铁路幼儿园,29.500913,106.545594,47706
OM25062700000855,2025-06-30,106538,重庆市沙坪坝区城市排水设施管理处,重庆市重庆市沙坪坝区重庆市沙坪坝区一纵线,29.634566,106.372849,45795
OM25062700000975,2025-06-30,Z057841,重庆市人口和计划生育科学技术研究院附属医院,重庆市重庆市江北区江北区红黄路18号计生医院食堂,29.590335,106.537811,600
OM25062700001153,2025-06-30,Z050849,戴维斯物业管理-国家开发银行重庆分行,重庆市重庆市江北区金融街1号负1楼,29.577498,106.575366,15739
OM25062700001378,2025-06-30,Z015272,重庆市渝北区人民政府双龙湖街道办事处,双龙湖街道六楼食堂,29.717755,106.633012,57691
OM25062700001639,2025-06-30,Z119197,重庆输油气,重庆市-渝北区-北部新区龙头寺火车站旁昆仑大道46号中铁·峰汇国际B座9楼,29.612006,106.549654,58787
OM25062700001673,2025-06-30,Z046644,重庆志阳电气有限公司,重庆市重庆市渝北区重庆长安志阳汽车电气有限公司,29.765431,106.645588,16778
OM25062700001717,2025-06-30,Z060282,重庆市巴南区人民政府鱼洞街道办事处,巴南区鱼洞街道办重庆市巴南区鱼洞街道办事处,29.385368,106.524153,55970
OM25062700001729,2025-06-30,Z068701,重庆市九龙坡区数字化城市管理中心,重庆市重庆市九龙坡区九龙坡区数字化,29.51222,106.532099,29916
OM25062700001742,2025-06-30,111912,重庆康达环保产业（集团）有限公司,重庆市重庆市渝北区康达环保(黄山大道中段),29.622297,106.516043,22219
OM25062700001801,2025-06-30,Z090065,九龙坡铁路幼儿园,重庆市重庆市九龙坡区铁路幼儿园,29.500913,106.545594,47706
OM25062700001814,2025-06-30,Z099595,重庆市南岸区房屋征收中心,重庆市重庆市南岸区南岸区房屋征收中心,29.543327,106.587459,53812
OM25062700002103,2025-06-30,Z074101,两江物业—职能中心食堂,重庆市重庆市渝北区渝北区御园路92号东北方向180米,29.693393,106.820019,46273
OM25062700002377,2025-06-30,Z015323,保税港港欣1号餐厅,重庆市重庆市江北区江北区远航大道88号水港综合大楼重庆市江北区远航大道88号水港综合大楼B栋308重庆保税港区港欣资产经营管理有限公司,29.632117,106.60369,23619
OM25062700002382,2025-06-30,Z110078,地质勘察——早餐,重庆市-北碚区-同德路12号,29.76077,106.47412,57408
OM25062700002413,2025-06-30,109148,重庆金泰国有资产经营有限公司,重庆市重庆市渝北区渝北区龙兴路赛力斯汽车龙兴总部负一楼金泰食堂,29.687276,106.794496,46801
OM25062700002528,2025-06-30,Z013247,重庆市沙坪坝区曾家镇人民政府,重庆市重庆市沙坪坝区曾家镇政府,29.55804,106.307813,46938
OM25062700002570,2025-06-30,Z055006,重庆市档案馆（日配）,重庆市重庆市渝北区重庆市渝北区秋成大道,29.691415,106.577512,54901
OM25062700002578,2025-06-30,Z020526,中国烟草总公司重庆市公司巴南分公司,重庆市重庆市巴南区李家沱马王坪正街20号,29.473039,106.543839,7612
OM25062700002601,2025-06-30,Z098832,重庆三峰卡万塔环境产业有限公司二,三峰卡万塔大渡口区八桥镇建桥工业园建桥大道五号,29.454464,106.494448,56126
OM25062700002652,2025-06-30,106516,重庆农村商业银行股份有限公司南岸支行,重庆市重庆市南岸区重庆市南岸区白鹤路76-11号,29.52491,106.549381,50503
OM25062700002656,2025-06-30,Z074808,青木关第一幼儿园-教师餐,重庆市重庆市沙坪坝区青木关第一幼儿园青北下街80号,29.681187,106.311379,22924
OM25062700002657,2025-06-30,Z074808,青木关第一幼儿园-教师餐,重庆市重庆市沙坪坝区青木关第一幼儿园青北下街80号,29.681187,106.311379,22924
OM25062700002693,2025-06-30,108824,中建五局第三建设有限公司重庆分公司,重庆市重庆市渝北区渝北区新南路451号重庆市渝北区新南路451号 祈年 悦城2楼,29.606218,106.50355,23577
OM25062700002705,2025-06-30,Z093715,重庆两江新区嘉景湾幼儿园-老师餐,重庆市重庆市渝北区重庆市渝北区金海大道998号,29.702462,106.488323,49851
OM25062700002881,2025-06-30,Z033880,重庆建工第二建设有限公司,重庆市重庆市沙坪坝区天陈路56号,29.556611,106.464633,19484
OM25062700002925,2025-06-30,Z054940,重庆市大渡口区八桥镇人民政府,重庆市重庆市大渡口区鑫鹏大厦,29.464073,106.487723,15682
