商品编码,商品名称,规格,单位,管理一级名称,管理二级名称,管理三级名称,修正后规格体积L
1768472,心相印茶语四层悬挂式面巾纸320抽DT10320,320抽,提,非食品,清洁用品,纸类用品,5.5
45235,心相印金装经典系列三层塑装纸面巾6包,130抽*6,提,非食品,清洁用品,纸类用品,6.43
1103344,洁柔FACE无香面巾纸3* 110* 18包,3层110抽18包,提,非食品,清洁用品,纸类用品,16.0
1794368,紫菜20g,20g,袋,干货加工,干货,其他干货类,0.6
1069407,立白新36金桔洗洁精4KG,4KG,桶,非食品,清洁用品,家用清洁用品,10.0
34801,立白生姜洗洁精2kg,2kg,桶,非食品,清洁用品,家用清洁用品,3.9
1119256,福禄丝雪花生粉4kg,4kg,袋,调味杂货,调味品类,生粉,7.0
8060,李锦记精选生抽1750ml,1750ml,桶,调味杂货,调味品类,调味酱油,3.0
1478314,宜宾香粹芽菜1kg,1kg,袋,调味杂货,罐头小菜,常温小菜类,1.2
1676033,蜀新源泡酸菜2.5kg,2.5kg,袋,调味杂货,罐头小菜,常温小菜类,3.0
668831,雀巢怡运高钙多维营养奶粉300g,300g,袋,调味杂货,早餐冲调,奶粉,1.25
1065652,黄花园酱油500ml,500ml,瓶,调味杂货,调味品类,调味酱油,1.0
341238,金龙鱼自然葵香葵花籽油5L,5L,瓶,调味杂货,食用油类,葵花籽油,10.0
478668,自由点无感超薄日用棉柔卫生巾8片,8片,包,非食品,清洁用品,纸类用品,0.5
402735,双嗒青花椒油330ml,330ml,瓶,调味杂货,调味品类,调味油汁/料酒,0.6
1503708,海南黄灯笼辣酱510克,510g,瓶,调味杂货,调味品类,调味酱类,0.9
156615,云南白药薄荷清爽型牙膏150g,150g,盒,非食品,清洁用品,口腔/剃须用品,0.5
