销售订单,计划收货开始时间,计划收货结束时间
OM25061500000013,2025-06-30 06:45:00,2025-06-30 07:00:00
OM25061900007357,2025-06-30 06:00:00,2025-06-30 06:30:00
OM25062000005494,2025-06-30 06:30:00,2025-06-30 07:00:00
OM25062400003394,2025-06-30 07:00:00,2025-06-30 07:20:00
OM25062500009183,2025-06-30 06:20:00,2025-06-30 06:50:00
OM25062700000321,2025-06-30 07:10:00,2025-06-30 07:30:00
OM25062700000410,2025-06-30 06:40:00,2025-06-30 07:00:00
OM25062700000640,2025-06-30 07:30:00,2025-06-30 08:00:00
OM25062700000717,2025-06-30 05:40:00,2025-06-30 06:00:00
OM25062700000728,2025-06-30 06:50:00,2025-06-30 07:15:00
OM25062700000809,2025-06-30 08:00:00,2025-06-30 08:01:00
OM25062700000855,2025-06-30 07:00:00,2025-06-30 07:30:00
OM25062700000975,2025-06-30 05:55:00,2025-06-30 06:15:00
OM25062700001153,2025-06-30 07:00:00,2025-06-30 07:30:00
OM25062700001378,2025-06-30 06:00:00,2025-06-30 06:20:00
OM25062700001639,2025-06-30 09:00:00,2025-06-30 09:30:00
OM25062700001673,2025-06-30 06:35:00,2025-06-30 06:45:00
OM25062700001717,2025-06-30 05:55:00,2025-06-30 06:15:00
OM25062700001729,2025-06-30 06:35:00,2025-06-30 06:40:00
OM25062700001742,2025-06-30 06:50:00,2025-06-30 07:10:00
OM25062700001801,2025-06-30 08:00:00,2025-06-30 08:01:00
OM25062700001814,2025-06-30 05:59:00,2025-06-30 06:20:00
OM25062700002103,2025-06-30 06:00:00,2025-06-30 06:20:00
OM25062700002377,2025-06-30 06:10:00,2025-06-30 06:30:00
OM25062700002382,2025-06-30 06:30:00,2025-06-30 06:59:00
OM25062700002413,2025-06-30 07:10:00,2025-06-30 07:30:00
OM25062700002528,2025-06-30 07:00:00,2025-06-30 07:20:00
OM25062700002570,2025-06-30 06:30:00,2025-06-30 07:00:00
OM25062700002578,2025-06-30 06:50:00,2025-06-30 07:10:00
OM25062700002601,2025-06-30 06:10:00,2025-06-30 06:30:00
OM25062700002652,2025-06-30 05:48:00,2025-06-30 06:20:00
OM25062700002656,2025-06-30 06:30:00,2025-06-30 07:00:00
OM25062700002657,2025-06-30 06:30:00,2025-06-30 07:00:00
OM25062700002693,2025-06-30 06:30:00,2025-06-30 06:35:00
OM25062700002705,2025-06-30 06:00:00,2025-06-30 06:30:00
OM25062700002881,2025-06-30 05:50:00,2025-06-30 06:13:00
OM25062700002925,2025-06-30 06:30:00,2025-06-30 07:08:00
OM25062700003112,2025-06-30 05:50:00,2025-06-30 06:10:00
OM25062700003369,2025-06-30 06:00:00,2025-06-30 06:30:00
OM25062700003500,2025-06-30 06:15:00,2025-06-30 06:30:00
OM25062700003523,2025-06-30 06:50:00,2025-06-30 07:10:00
OM25062700003666,2025-06-30 06:10:00,2025-06-30 06:30:00
OM25062700003671,2025-06-30 06:30:00,2025-06-30 07:00:00
OM25062700003672,2025-06-30 06:30:00,2025-06-30 07:00:00
OM25062700003714,2025-06-30 06:00:00,2025-06-30 06:30:00
OM25062700003763,2025-06-30 05:55:00,2025-06-30 06:35:00
OM25062700003786,2025-06-30 06:40:00,2025-06-30 07:00:00
OM25062700003827,2025-06-30 07:10:00,2025-06-30 07:30:00
OM25062700003840,2025-06-30 06:10:00,2025-06-30 06:30:00
OM25062700003851,2025-06-30 06:10:00,2025-06-30 06:30:00
OM25062700003857,2025-06-30 07:10:00,2025-06-30 07:30:00
OM25062700003872,2025-06-30 06:10:00,2025-06-30 06:30:00
OM25062700003916,2025-06-30 05:40:00,2025-06-30 06:00:00
OM25062700004040,2025-06-30 06:10:00,2025-06-30 06:30:00
OM25062700004045,2025-06-30 06:30:00,2025-06-30 07:00:00
OM25062700004072,2025-06-30 06:00:00,2025-06-30 06:35:00
OM25062700004395,2025-06-30 06:00:00,2025-06-30 06:20:00
OM25062700004669,2025-06-30 05:00:00,2025-06-30 05:30:00
OM25062700004711,2025-06-30 06:20:00,2025-06-30 06:40:00
OM25062700004784,2025-06-30 06:20:00,2025-06-30 06:40:00
OM25062700004812,2025-06-30 06:00:00,2025-06-30 06:30:00
OM25062700004886,2025-06-30 08:00:00,2025-06-30 08:01:00
OM25062700004913,2025-06-30 07:10:00,2025-06-30 07:30:00
OM25062700004921,2025-06-30 06:10:00,2025-06-30 06:30:00
OM25062700005018,2025-06-30 06:20:00,2025-06-30 06:40:00
OM25062700005094,2025-06-30 06:30:00,2025-06-30 07:00:00
OM25062700005097,2025-06-30 06:30:00,2025-06-30 07:00:00
OM25062700005109,2025-06-30 05:40:00,2025-06-30 06:10:00
OM25062700005129,2025-06-30 06:30:00,2025-06-30 07:00:00
OM25062700005136,2025-06-30 06:00:00,2025-06-30 06:35:00
OM25062700005370,2025-06-30 05:50:00,2025-06-30 06:10:00
OM25062700005388,2025-06-30 05:50:00,2025-06-30 06:10:00
OM25062700005495,2025-06-30 05:55:00,2025-06-30 06:15:00
OM25062700005588,2025-06-30 08:00:00,2025-06-30 08:01:00
OM25062700005693,2025-06-30 07:45:00,2025-06-30 08:10:00
OM25062700005716,2025-06-30 07:00:00,2025-06-30 07:25:00
OM25062700005725,2025-06-30 08:10:00,2025-06-30 08:30:00
OM25062700005767,2025-06-30 06:50:00,2025-06-30 07:10:00
OM25062700005771,2025-06-30 05:50:00,2025-06-30 06:15:00
OM25062700005893,2025-06-30 07:00:00,2025-06-30 07:30:00
OM25062700005940,2025-06-30 06:00:00,2025-06-30 06:30:00
OM25062700005966,2025-06-30 07:00:00,2025-06-30 07:30:00
OM25062700005980,2025-06-30 07:00:00,2025-06-30 07:30:00
OM25062700006006,2025-06-30 08:40:00,2025-06-30 09:00:00
OM25062700006017,2025-06-30 05:48:00,2025-06-30 06:20:00
OM25062700006102,2025-06-30 06:00:00,2025-06-30 06:25:00
