number,origin,destination,code,distance,duration,toll,restriction
0,"106.515487,29.624322","106.384825,29.676384",0,19033,1440,0,1
1,"106.515487,29.624322","106.556809,29.517229",0,19374,1740,0,1
2,"106.515487,29.624322","106.57485,29.733029",0,16936,1500,0,1
3,"106.515487,29.624322","106.569953,29.481373",0,21715,2280,0,1
4,"106.515487,29.624322","106.563185,29.465776",0,24929,2700,0,1
5,"106.515487,29.624322","106.794496,29.687276",0,34548,2520,0,1
6,"106.515487,29.624322","106.56982,29.584005",0,11717,1140,0,1
7,"106.515487,29.624322","106.423114,29.838559",0,34452,2040,0,1
8,"106.515487,29.624322","106.483385,29.629215",0,3996,480,0,1
9,"106.515487,29.624322","106.411922,29.810434",0,32144,1920,0,1
10,"106.515487,29.624322","106.545594,29.500913",0,20207,1920,0,1
11,"106.515487,29.624322","106.372849,29.634566",0,29748,2040,0,1
12,"106.515487,29.624322","106.537811,29.590335",0,6428,840,0,1
13,"106.515487,29.624322","106.575366,29.577498",0,10910,1140,0,1
14,"106.515487,29.624322","106.633012,29.717755",0,21517,2040,0,1
15,"106.515487,29.624322","106.549654,29.612006",0,6203,900,0,1
16,"106.515487,29.624322","106.645588,29.765431",0,29915,2160,7,1
17,"106.515487,29.624322","106.524153,29.385368",0,39433,2820,0,1
18,"106.515487,29.624322","106.532099,29.51222",0,17786,1620,0,1
19,"106.515487,29.624322","106.516043,29.622297",0,1305,120,0,1
20,"106.515487,29.624322","106.587459,29.543327",0,16938,1800,0,1
21,"106.515487,29.624322","106.820019,29.693393",0,38972,2880,0,1
22,"106.515487,29.624322","106.60369,29.632117",0,27496,2760,0,1
23,"106.515487,29.624322","106.47412,29.76077",0,19316,1800,0,1
24,"106.515487,29.624322","106.307813,29.55804",0,30438,2280,0,1
25,"106.515487,29.624322","106.577512,29.691415",0,14334,1380,0,1
26,"106.515487,29.624322","106.543839,29.473039",0,23753,2280,0,1
27,"106.515487,29.624322","106.494448,29.454464",0,27429,1860,0,1
28,"106.515487,29.624322","106.549381,29.52491",0,18731,1800,0,1
29,"106.515487,29.624322","106.311379,29.681187",0,28966,2280,0,1
30,"106.515487,29.624322","106.50355,29.606218",0,2971,480,0,1
31,"106.515487,29.624322","106.488323,29.702462",0,11312,960,0,1
32,"106.515487,29.624322","106.464633,29.556611",0,16133,1440,0,1
33,"106.515487,29.624322","106.487723,29.464073",0,26491,1680,0,1
34,"106.515487,29.624322","106.515357,29.501573",0,18550,1680,0,1
35,"106.515487,29.624322","106.800921,29.652905",0,35563,2640,0,1
36,"106.515487,29.624322","106.340831,29.626253",0,27584,1980,0,1
37,"106.515487,29.624322","106.244431,29.481045",0,40861,2520,27,1
38,"106.515487,29.624322","106.494448,29.454464",0,27429,1860,0,1
39,"106.515487,29.624322","106.488323,29.702462",0,11312,960,0,1
40,"106.515487,29.624322","106.595651,29.423402",0,41091,2940,0,1
41,"106.515487,29.624322","106.767814,29.628511",0,30414,1980,0,1
42,"106.515487,29.624322","106.43982,29.667897",0,14132,1320,0,1
43,"106.515487,29.624322","106.478925,29.554136",0,12818,1200,0,1
44,"106.515487,29.624322","106.478925,29.554136",0,12818,1200,0,1
45,"106.515487,29.624322","106.549354,29.560878",0,11811,1440,0,1
46,"106.515487,29.624322","106.591757,29.56081",0,15012,1980,0,1
47,"106.515487,29.624322","106.744944,29.609495",0,30340,1860,0,1
48,"106.515487,29.624322","106.508461,29.602091",0,3733,540,0,1
49,"106.515487,29.624322","106.535587,29.807428",0,25041,2100,0,1
50,"106.515487,29.624322","106.645811,29.48559",0,28516,1920,0,1
51,"106.515487,29.624322","106.772502,29.681089",0,32841,2460,0,1
52,"106.515487,29.624322","106.580104,29.560173",0,13213,1620,0,1
53,"106.515487,29.624322","106.450784,29.46597",0,24142,1800,0,1
54,"106.515487,29.624322","106.51557,29.585954",0,6768,960,0,1
55,"106.515487,29.624322","106.44339,29.833109",0,35724,2520,0,1
56,"106.515487,29.624322","106.565222,29.664372",0,14499,1500,0,1
57,"106.515487,29.624322","106.494448,29.454464",0,27429,1860,0,1
58,"106.515487,29.624322","106.509122,29.615086",0,1921,300,0,1
59,"106.515487,29.624322","106.508461,29.602091",0,3733,540,0,1
60,"106.515487,29.624322","106.508461,29.602091",0,3733,540,0,1
61,"106.515487,29.624322","106.514249,29.582631",0,7366,840,0,1
62,"106.515487,29.624322","106.508461,29.602091",0,3733,540,0,1
63,"106.515487,29.624322","106.6134,29.688502",0,17343,2160,0,1
64,"106.515487,29.624322","106.453638,29.650345",0,15769,1500,0,1
65,"106.515487,29.624322","106.626114,29.398649",0,43295,2820,0,1
66,"106.515487,29.624322","106.533997,29.565588",0,9165,1020,0,1
67,"106.515487,29.624322","106.551843,29.650122",0,7255,840,0,1
68,"106.515487,29.624322","106.581698,29.520627",0,23604,1620,0,1
69,"106.515487,29.624322","106.52288,29.550783",0,12728,1440,0,1
70,"106.515487,29.624322","106.512547,29.511351",0,16904,1440,0,1
71,"106.515487,29.624322","106.473207,29.564749",0,11193,1200,0,1
72,"106.515487,29.624322","106.481465,29.771363",0,20871,1980,0,1
73,"106.515487,29.624322","106.481465,29.771363",0,20871,1980,0,1
74,"106.515487,29.624322","106.641637,29.612773",0,26585,1860,0,1
75,"106.515487,29.624322","106.55654,29.562133",0,12345,1440,0,1
76,"106.515487,29.624322","106.57571,29.580888",0,11530,1200,0,1
77,"106.515487,29.624322","106.575313,29.577264",0,10906,1140,0,1
78,"106.515487,29.624322","106.577057,29.578312",0,11956,1200,0,1
79,"106.515487,29.624322","106.324981,29.525253",0,30153,2160,0,1
80,"106.515487,29.624322","106.54485,29.416135",0,34375,2100,0,1
81,"106.515487,29.624322","106.538812,29.657252",0,7439,1140,0,1
82,"106.515487,29.624322","106.538812,29.657252",0,7439,1140,0,1
83,"106.515487,29.624322","106.590121,29.568028",0,16538,1860,0,1
84,"106.515487,29.624322","106.487157,29.628072",0,3796,420,0,1
85,"106.515487,29.624322","106.524603,29.541083",0,16003,1680,0,1
86,"106.515487,29.624322","106.524603,29.541083",0,16003,1680,0,1
