number,origin,destination,code,distance,duration,toll,restriction
0,"106.569953,29.481373","106.384825,29.676384",0,38916,4860,0,1
1,"106.569953,29.481373","106.556809,29.517229",0,7270,1260,0,1
2,"106.569953,29.481373","106.57485,29.733029",0,32198,4560,0,1
3,"106.569953,29.481373","106.515487,29.624322",0,19883,3240,0,1
4,"106.569953,29.481373","106.563185,29.465776",0,5559,900,0,1
5,"106.569953,29.481373","106.794496,29.687276",0,51131,3900,0,1
6,"106.569953,29.481373","106.56982,29.584005",0,12906,1740,0,1
7,"106.569953,29.481373","106.423114,29.838559",0,57346,6480,0,1
8,"106.569953,29.481373","106.483385,29.629215",0,23879,3720,0,1
9,"106.569953,29.481373","106.411922,29.810434",0,52927,5940,0,1
10,"106.569953,29.481373","106.545594,29.500913",0,15416,2580,0,1
11,"106.569953,29.481373","106.372849,29.634566",0,38976,4920,0,1
12,"106.569953,29.481373","106.537811,29.590335",0,15302,2520,0,1
13,"106.569953,29.481373","106.575366,29.577498",0,12099,1680,0,1
14,"106.569953,29.481373","106.633012,29.717755",0,36739,5040,0,1
15,"106.569953,29.481373","106.549654,29.612006",0,17794,2580,0,1
16,"106.569953,29.481373","106.645588,29.765431",0,44962,5400,0,1
17,"106.569953,29.481373","106.524153,29.385368",0,17609,2940,0,1
18,"106.569953,29.481373","106.532099,29.51222",0,12995,2340,0,1
19,"106.569953,29.481373","106.516043,29.622297",0,21188,3480,0,1
20,"106.569953,29.481373","106.587459,29.543327",0,7801,1260,0,1
21,"106.569953,29.481373","106.820019,29.693393",0,52286,3960,0,1
22,"106.569953,29.481373","106.60369,29.632117",0,43762,6360,0,1
23,"106.569953,29.481373","106.47412,29.76077",0,39342,5280,0,1
24,"106.569953,29.481373","106.307813,29.55804",0,48366,5340,0,1
25,"106.569953,29.481373","106.577512,29.691415",0,34890,4680,0,1
26,"106.569953,29.481373","106.543839,29.473039",0,7483,1140,0,1
27,"106.569953,29.481373","106.494448,29.454464",0,25894,3900,0,1
28,"106.569953,29.481373","106.549381,29.52491",0,8078,1680,0,1
29,"106.569953,29.481373","106.311379,29.681187",0,48849,5700,0,1
30,"106.569953,29.481373","106.50355,29.606218",0,19969,3180,0,1
31,"106.569953,29.481373","106.488323,29.702462",0,31195,4440,0,1
32,"106.569953,29.481373","106.464633,29.556611",0,21318,3360,0,1
33,"106.569953,29.481373","106.487723,29.464073",0,20640,3120,0,1
34,"106.569953,29.481373","106.515357,29.501573",0,13759,2400,0,1
35,"106.569953,29.481373","106.800921,29.652905",0,55797,4380,0,1
36,"106.569953,29.481373","106.340831,29.626253",0,47467,5460,0,1
37,"106.569953,29.481373","106.244431,29.481045",0,52352,5940,0,1
38,"106.569953,29.481373","106.494448,29.454464",0,25894,3900,0,1
39,"106.569953,29.481373","106.488323,29.702462",0,31195,4440,0,1
40,"106.569953,29.481373","106.595651,29.423402",0,14357,2040,0,1
41,"106.569953,29.481373","106.767814,29.628511",0,59123,4680,0,1
42,"106.569953,29.481373","106.43982,29.667897",0,34015,4680,0,1
43,"106.569953,29.481373","106.478925,29.554136",0,20242,3000,0,1
44,"106.569953,29.481373","106.478925,29.554136",0,20242,3000,0,1
45,"106.569953,29.481373","106.549354,29.560878",0,11795,1800,0,1
46,"106.569953,29.481373","106.591757,29.56081",0,12109,1920,0,1
47,"106.569953,29.481373","106.744944,29.609495",0,59049,4560,0,1
48,"106.569953,29.481373","106.508461,29.602091",0,18761,2940,0,1
49,"106.569953,29.481373","106.535587,29.807428",0,44924,5580,0,1
50,"106.569953,29.481373","106.645811,29.48559",0,18069,2400,0,1
51,"106.569953,29.481373","106.772502,29.681089",0,51482,3960,0,1
52,"106.569953,29.481373","106.580104,29.560173",0,11486,1740,0,1
53,"106.569953,29.481373","106.450784,29.46597",0,24024,3600,0,1
54,"106.569953,29.481373","106.51557,29.585954",0,17159,3000,0,1
55,"106.569953,29.481373","106.44339,29.833109",0,55183,6360,0,1
56,"106.569953,29.481373","106.565222,29.664372",0,24961,3720,0,1
57,"106.569953,29.481373","106.494448,29.454464",0,25894,3900,0,1
58,"106.569953,29.481373","106.509122,29.615086",0,20299,3180,0,1
59,"106.569953,29.481373","106.508461,29.602091",0,18761,2940,0,1
60,"106.569953,29.481373","106.508461,29.602091",0,18761,2940,0,1
61,"106.569953,29.481373","106.514249,29.582631",0,18797,3480,0,1
62,"106.569953,29.481373","106.508461,29.602091",0,18761,2940,0,1
63,"106.569953,29.481373","106.6134,29.688502",0,34702,5280,0,1
64,"106.569953,29.481373","106.453638,29.650345",0,35652,4980,0,1
65,"106.569953,29.481373","106.626114,29.398649",0,18529,2520,0,1
66,"106.569953,29.481373","106.533997,29.565588",0,14431,2340,0,1
67,"106.569953,29.481373","106.551843,29.650122",0,23985,3840,0,1
68,"106.569953,29.481373","106.581698,29.520627",0,7212,960,0,1
69,"106.569953,29.481373","106.52288,29.550783",0,13168,1920,0,1
70,"106.569953,29.481373","106.512547,29.511351",0,13949,2460,0,1
71,"106.569953,29.481373","106.473207,29.564749",0,22930,3960,0,1
72,"106.569953,29.481373","106.481465,29.771363",0,40897,5460,0,1
73,"106.569953,29.481373","106.481465,29.771363",0,40897,5460,0,1
74,"106.569953,29.481373","106.641637,29.612773",0,44996,6060,0,1
75,"106.569953,29.481373","106.55654,29.562133",0,11715,1740,0,1
76,"106.569953,29.481373","106.57571,29.580888",0,12981,1800,0,1
77,"106.569953,29.481373","106.575313,29.577264",0,12095,1620,0,1
78,"106.569953,29.481373","106.577057,29.578312",0,13407,1860,0,1
79,"106.569953,29.481373","106.324981,29.525253",0,40648,5220,0,1
80,"106.569953,29.481373","106.54485,29.416135",0,10210,1740,0,1
81,"106.569953,29.481373","106.538812,29.657252",0,25713,4020,0,1
82,"106.569953,29.481373","106.538812,29.657252",0,25713,4020,0,1
83,"106.569953,29.481373","106.590121,29.568028",0,12471,1680,0,1
84,"106.569953,29.481373","106.487157,29.628072",0,23679,3660,0,1
85,"106.569953,29.481373","106.524603,29.541083",0,13815,2580,0,1
86,"106.569953,29.481373","106.524603,29.541083",0,13815,2580,0,1
87,"106.569953,29.481373","106.539246,29.599319",0,16953,2640,0,1
88,"106.569953,29.481373","105.738583,29.70041",0,148667,13680,0,1
89,"106.569953,29.481373","106.496322,29.619746",0,21919,3480,0,1
90,"106.569953,29.481373","106.54746,29.415515",0,10519,1800,0,1
91,"106.569953,29.481373","106.505464,29.554275",0,15442,2520,0,1
92,"106.569953,29.481373","106.424981,29.816815",0,54301,6180,0,1
93,"106.569953,29.481373","106.437744,29.834768",0,55332,6240,0,1
94,"106.569953,29.481373","105.70941,29.703558",0,155115,14280,0,1
95,"106.569953,29.481373","106.453589,29.540679",0,21856,3360,0,1
96,"106.569953,29.481373","106.412223,29.811194",0,52926,6000,0,1
97,"106.569953,29.481373","106.556505,29.562989",0,11487,1680,0,1
98,"106.569953,29.481373","106.543865,29.425925",0,8892,1500,0,1
99,"106.569953,29.481373","106.543865,29.425925",0,8892,1500,0,1
0,"106.556809,29.517229","106.384825,29.676384",0,34758,4440,0,1
1,"106.556809,29.517229","106.57485,29.733029",0,29323,4740,0,1
2,"106.556809,29.517229","106.569953,29.481373",0,7487,1260,0,1
