计划出库日期,销售订单,送货站点名称,最早收货时间,最晚收货时间,经度,纬度,方量,线路名称,配送顺序,预计送达时间,预计离开时间,距离,行驶时间,线路单边里程,线路时间(单边),线路方量,最晚离仓时间,车型
2025-06-30,OM25062900001504,重庆市九龙坡区公路事务中心,2025-06-30 06:20:00,2025-06-30 06:50:00,106.381747,29.407871,0.0,V007线,1,2025-06-30 06:20:00,2025-06-30 06:40:00,48.185,35.7,48.185,55.7,111.259,2025-06-30 05:44:00,小型面包车
2025-06-30,OM25062900003940,园林技工学校-教师,2025-06-30 06:10:00,2025-06-30 06:30:00,106.529903,29.539833,0.0,V001线,1,2025-06-30 06:10:00,2025-06-30 06:30:00,32.233,30.1,35.798,120.1,212.262,2025-06-30 05:40:00,小型面包车
2025-06-30,OM25062700006559,幼儿食材,2025-06-30 07:20:00,2025-06-30 07:40:00,106.524603,29.541083,0.0,V001线,2,2025-06-30 07:20:00,2025-06-30 07:40:00,3.565,6.3,,,,,小型面包车
2025-06-30,OM25063000002185,重庆市钱大妈供应链管理有限公司,2025-06-30 15:34:00,2025-06-30 16:34:00,106.38609,29.680634,0.0,V002线,1,2025-06-30 15:34:00,2025-06-30 16:03:00,0.932,2.1,44.239,93.82,1292.844,2025-06-30 00:00:00,小型面包车
2025-06-30,OM25063000000175,重庆客百年农产品经营有限公司,2025-06-30 16:00:00,2025-06-30 18:00:00,106.278841,29.390591,0.0,V002线,2,2025-06-30 16:32:00,2025-06-30 17:06:00,43.307,29.4,,,,,小型面包车
2025-06-30,OM25062800005250,中国人民解放军重庆市九龙坡区武装部（市区指挥中心）,2025-06-30 05:10:00,2025-06-30 05:30:00,106.518865,29.504375,0.0,V003线,1,2025-06-30 05:10:00,2025-06-30 05:30:00,38.198,29.4,163.083,276.7,1402.631,2025-06-30 04:41:00,小型面包车
2025-06-30,OM25062900004496,重庆市公安局巴南区分局业务技术用房食堂,2025-06-30 06:20:00,2025-06-30 06:30:00,106.540238,29.37809,0.0,V003线,2,2025-06-30 06:20:00,2025-06-30 06:40:00,19.677,25.9,,,,,小型面包车
2025-06-30,OM25062900005147,考试中心（西南基地肉）,2025-06-30 07:00:00,2025-06-30 07:30:00,106.670156,29.633609,0.0,V003线,3,2025-06-30 07:18:00,2025-06-30 07:38:00,57.781,37.8,,,,,小型面包车
2025-06-30,OM25062900003772,通远航务东区干副,2025-06-30 06:30:00,2025-06-30 08:30:00,106.658675,29.698841,0.0,V003线,4,2025-06-30 07:52:00,2025-06-30 08:12:00,11.919,14.7,,,,,小型面包车
2025-06-30,OM25062900004521,重庆第二师范学院-2楼,2025-06-30 08:20:00,2025-06-30 09:00:00,106.581872,29.517908,0.0,V003线,5,2025-06-30 08:57:00,2025-06-30 09:17:00,35.508,44.8,,,,,小型面包车
