计划出库日期,销售订单,送货站点名称,最早收货时间,最晚收货时间,经度,纬度,方量,线路名称,配送顺序,预计送达时间,预计离开时间,距离,行驶时间,线路单边里程,线路时间(单边),线路方量,最晚离仓时间,车型
2025-06-30,OM25062900002680,重庆市北碚区童家溪镇人民政府,2025-06-30 06:30:00,2025-06-30 06:50:00,106.454883,29.689305,287.637,V001线,1,2025-06-30 06:30:00,2025-06-30 06:54:00,12.38,14.0,32.591,126.61,461.325,2025-06-30 06:16:00,小型面包车
2025-06-30,OM25062700007710,中国石油天然气股份有限公司西南化工销售重庆仓储中心,2025-06-30 08:00:00,2025-06-30 08:15:00,106.396445,29.653095,173.6877,V001线,2,2025-06-30 08:00:00,2025-06-30 08:23:00,20.211,27.3,,,,,小型面包车
2025-06-30,OM25062800001926,重庆凯源石油天然气有限责任公司巴南分公司,2025-06-30 05:30:00,2025-06-30 06:00:00,106.527229,29.467279,4.5,V002线,1,2025-06-30 05:30:00,2025-06-30 05:50:00,41.523,30.8,192.8,265.1,2040.476,2025-06-30 04:59:00,小型面包车
2025-06-30,OM25062900005719,中国人民解放军32614部队,2025-06-30 06:20:00,2025-06-30 06:50:00,106.56171,29.061945,864.0655,V002线,2,2025-06-30 06:38:00,2025-06-30 07:15:00,58.519,48.3,,,,,小型面包车
2025-06-30,OM25062700007031,重庆顺泰铁塔制造有限公司-干副,2025-06-30 08:40:00,2025-06-30 09:00:00,106.641637,29.612773,1171.911,V002线,3,2025-06-30 08:40:00,2025-06-30 09:24:00,92.758,67.2,,,,,小型面包车
2025-06-30,OM25062800001781,渝北三号桥食堂,2025-06-30 05:10:00,2025-06-30 05:30:00,106.632519,29.713308,71.225,V021线,1,2025-06-30 05:10:00,2025-06-30 05:31:00,32.403,35.7,97.929,286.47,2245.026,2025-06-30 04:34:00,大型面包车
2025-06-30,OM25062700005370,回兴路食堂,2025-06-30 05:50:00,2025-06-30 06:10:00,106.6134,29.688502,264.772,V021线,2,2025-06-30 05:50:00,2025-06-30 06:14:00,4.372,10.5,,,,,大型面包车
2025-06-30,OM25062700006456,两江新区北大资源凯思幼儿园-学生,2025-06-30 06:20:00,2025-06-30 06:45:00,106.538812,29.657252,235.198,V021线,3,2025-06-30 06:40:00,2025-06-30 07:03:00,14.882,25.9,,,,,大型面包车
2025-06-30,OM25062700003857,重庆横河川仪有限公司,2025-06-30 07:10:00,2025-06-30 07:30:00,106.43982,29.667897,1622.664,V021线,4,2025-06-30 07:24:00,2025-06-30 08:20:00,14.263,21.0,,,,,大型面包车
2025-06-30,OM25062900004355,重庆璧山天然气有限责任公司,2025-06-30 09:00:00,2025-06-30 09:30:00,106.228746,29.587019,51.167,V021线,5,2025-06-30 09:00:00,2025-06-30 09:21:00,32.009,27.3,,,,,大型面包车
2025-06-30,OM25062900000373,高新区自来水-西彭,2025-06-30 05:50:00,2025-06-30 06:10:00,106.303766,29.332745,160.613,V003线,1,2025-06-30 05:50:00,2025-06-30 06:12:00,49.714,31.5,130.111,223.17,1321.277,2025-06-30 05:18:00,小型面包车
2025-06-30,OM25062900003525,江津食堂-学员,2025-06-30 06:20:00,2025-06-30 06:50:00,106.387972,29.270314,685.025,V003线,2,2025-06-30 06:29:00,2025-06-30 07:01:00,21.888,16.8,,,,,小型面包车
2025-06-30,OM25062700007637,重庆九龙坡区铝都实验幼儿园大石堡分园,2025-06-30 07:00:00,2025-06-30 07:30:00,106.333469,29.309595,111.3,V003线,3,2025-06-30 07:20:00,2025-06-30 07:42:00,20.063,18.9,,,,,小型面包车
2025-06-30,OM25062900004471,重庆丰盛时代餐饮管理有限公司,2025-06-30 07:30:00,2025-06-30 08:00:00,106.368733,29.360143,354.885,V003线,4,2025-06-30 07:54:00,2025-06-30 08:19:00,10.269,11.9,,,,,小型面包车
